pass,law_id,dv_year,dv_number,id_mat,section,title,title_kind,resolver_score,resolver_flags,act_promulgated,reason
title,grazhdanski-protsesualen-kodeks,2003,84,117533,Народно събрание,Закон за изменение и допълнение на Гражданския процесуален кодекс,amending,1.000,,2007-07-20,before_promulgation
title,izboren-kodeks,2011,9,43535,Народно събрание,Изборен кодекс,promulgation,1.000,,2014-03-05,before_promulgation
title,izboren-kodeks,2011,45,51766,Народно събрание,Закон за изменение и допълнение на Изборния кодекс,amending,1.000,,2014-03-05,before_promulgation
title,izboren-kodeks,2013,17,73360,Народно събрание,Закон за изменение и допълнение на Изборния кодекс,amending,1.000,,2014-03-05,before_promulgation
title,kodeks-za-povedenie-na-sluzhitelite-v-darzhavnata-administratsiya,2004,53,20051,Министерски съвет,Постановление № 126 от 11 юни 2004 г. за приемане на Кодекс за поведение на служителите в държавната администрация,adopting,1.000,,2020-04-07,before_promulgation
title,kodeks-za-zastrahovaneto,2005,103,1172,Народно събрание,Кодекс за застраховането,promulgation,1.000,,2015-12-29,before_promulgation
title,kodeks-za-zastrahovaneto,2006,54,2142,Народно събрание,Закон за изменение и допълнение на Кодекса за застраховането,amending,1.000,,2015-12-29,before_promulgation
title,kodeks-za-zastrahovaneto,2007,48,3803,Народно събрание,Закон за изменение и допълнение на Кодекса за застраховането,amending,1.000,,2015-12-29,before_promulgation
title,kodeks-za-zastrahovaneto,2007,97,4440,Народно събрание,Закон за изменение и допълнение на Кодекса за застраховането,amending,1.000,,2015-12-29,before_promulgation
title,kodeks-za-zastrahovaneto,2010,41,33232,Народно събрание,Закон за изменение и допълнение на Кодекса за застраховането,amending,1.000,,2015-12-29,before_promulgation
title,kodeks-za-zastrahovaneto,2011,51,53518,Народно събрание,Закон за допълнение на Кодекса за застраховането,amending,1.000,,2015-12-29,before_promulgation
title,kodeks-za-zastrahovaneto,2013,20,73630,Народно събрание,Закон за изменение и допълнение на Кодекса за застраховането,amending,1.000,,2015-12-29,before_promulgation
title,nakazatelno-protsesualen-kodeks,2003,50,106213,Народно събрание,Закон за изменение и допълнение на Наказателно-процесуалния кодекс,amending,1.000,,2005-10-28,before_promulgation
title,nakazatelno-protsesualen-kodeks,2003,57,108252,Народно събрание,Закон за изменение и допълнение на Наказателно-процесуалния кодекс,amending,1.000,,2005-10-28,before_promulgation
title,nakazatelno-protsesualen-kodeks,2004,89,18496,Народно събрание,Закон за изменение и допълнение на Наказателно-процесуалния кодекс,amending,1.000,,2005-10-28,before_promulgation
title,naredba-za-antidopingovata-deynost,2019,47,138553,Министерски съвет,Постановление № 147 от 12 юни 2019 г. за приемане на Наредба за антидопинговата дейност,adopting,1.000,,2021-01-22,before_promulgation
title,naredba-za-avariyno-planirane-i-avariyna-gotovnost-pri-yadrena-i-radiatsionna-av,2004,71,19190,Министерски съвет,Постановление № 189 от 30 юли 2004 г. за приемане на Наредба за аварийно планиране и аварийна готовност при ядрена и радиационна авария,adopting,1.000,,2011-11-29,before_promulgation
title,naredba-za-bezopasnata-eksploatatsiya-i-tehnicheskiya-nadzor-na-povdigatelni-sao,2006,60,2257,Министерски съвет,Постановление № 174 от 14 юли 2006 г. за приемане на Наредба за безопасната експлоатация и техническия надзор на повдигателни съоръжения,adopting,1.000,,2010-09-17,before_promulgation
title,naredba-za-bezopasnata-eksploatatsiya-i-tehnicheskiya-nadzor-na-povdigatelni-sao,2009,25,17885,Министерски съвет,"Постановление № 66 от 20 март 2009 г. за изменение и допълнение на Наредбата за безопасната експлоатация и техническия надзор на повдигателни съоръжения, приета с Постановление № 174 на Министерския съвет от 2006 г.",amending,1.000,,2010-09-17,before_promulgation
title,naredba-za-bezopasnost-pri-upravlenie-na-radioaktivnite-otpadatsi,2004,72,19184,Министерски съвет,Постановление № 198 от 3 август 2004 г. за приемане на Наредба за безопасност при управление на радиоактивните отпадъци,adopting,1.000,,2013-08-30,before_promulgation
title,naredba-za-darzhavnite-iziskvaniya-za-organizirane-na-distantsionna-forma-na-obu,2004,99,18430,Министерски съвет,Постановление № 292 от 2 ноември 2004 г. за приемане на Наредба за държавните изисквания за организиране на дистанционна форма на обучение във висшите училища,adopting,1.000,,2021-03-12,before_promulgation
title,naredba-za-deynostta-po-organiziraneto-i-osashtestvyavaneto-na-elektronnite-komu,2009,57,23556,Министерски съвет,"Постановление № 179 от 15 юли 2009 г. за приемане на Наредба за дейността по организирането и осъществяването на електронните комуникации и криптографската сигурност на служебната кореспонденция, обменяна по електронни комуникационни канали между организационните единици в Република България и задграничните й представителства",adopting,0.934,,2020-04-24,before_promulgation
title,naredba-za-dopalnitelnite-merki-svarzani-s-prilaganeto-na-reglamenti-prieti-sagl,2013,43,75751,Министерски съвет,"Постановление № 105 от 7 май 2013 г. за допълнение на Наредбата за допълнителните мерки, свързани с прилагането на регламенти, приети съгласно чл. 15 от Директива 2009/125/ЕО на Европейския парламент и на Съвета от 21 октомври 2009 г. за създаване на рамка за определяне на изискванията за екодизайн към продуктите, свързани с енергопотреблението, приета с Постановление № 101 на Министерския съвет от 2010 г.",amending,1.000,,2015-02-20,before_promulgation
title,naredba-za-dopalnitelnite-merki-svarzani-s-prilaganeto-na-reglamenti-prieti-sagl,2013,105,80871,Министерски съвет,"Постановление № 271 от 29 ноември 2013 г. за допълнение на Наредбата за допълнителните мерки, свързани с прилагането на регламенти, приети съгласно чл. 15 от Директива 2009/125/ЕО на Европейския парламент и на Съвета от 21 октомври 2009 г. за създаване на рамка за определяне на изискванията за екодизайн към продуктите, свързани с енергопотреблението, приета с Постановление № 101 на Министерския съвет от 2010 г.",amending,1.000,,2015-02-20,before_promulgation
title,naredba-za-edinnite-darzhavni-iziskvaniya-za-pridobivane-na-visshe-obrazovanie-p-7,2005,69,767,Министерски съвет,"Постановление № 190 от 16 август 2005 г. за изменение на Наредбата за единните държавни изисквания за придобиване на висше образование по специалността “Право” и професионална квалификация “юрист”, приета с Постановление № 75 на Министерския съвет от 1996 г.",amending,1.000,,2022-07-15,before_promulgation
title,naredba-za-edinnite-darzhavni-iziskvaniya-za-pridobivane-na-visshe-obrazovanie-p-7,2017,35,114002,Министерски съвет,Постановление № 82 от 26 април 2017 г. за приемане на Наредба за единните държавни изисквания за придобиване на висше образование по специалността „Право“ и професионална квалификация „юрист“,adopting,1.000,,2022-07-15,before_promulgation
title,naredba-za-edinnite-darzhavni-iziskvaniya-za-pridobivane-na-visshe-obrazovanie-p-7,2018,41,126420,Министерски съвет,"Постановление № 74 от 10 май 2018 г. за изменение на Наредбата за единните държавни изисквания за придобиване на вис­ше образование по специалността „Право“ и професионална квалификация „юрист“, приета с Постановление № 82 на Министерския съвет от 2017 г.",amending,1.000,,2022-07-15,before_promulgation
title,naredba-za-edinnite-darzhavni-iziskvaniya-za-pridobivane-na-visshe-obrazovanie-p-7,2019,46,138428,Министерски съвет,"Постановление № 138 от 6 юни 2019 г. за изменение на Наредбата за единните държавни изисквания за придобиване на висше образование по специалността „Право“ и професионална квалификация „юрист“, приета с Постановление № 82 на Министерския съвет от 2017 г.",amending,1.000,,2022-07-15,before_promulgation
title,naredba-za-edinnite-darzhavni-iziskvaniya-za-pridobivane-na-visshe-obrazovanie-p-7,2021,18,156310,Министерски съвет,"Постановление № 62 от 25 февруари 2021 г. за допълнение на Наредбата за единните държавни изисквания за придобиване на висше образование по специалността „Право“ и професионална квалификация „юрист“, приета с Постановление № 75 на Министерския съвет от 1996 г.",amending,1.000,,2022-07-15,before_promulgation
title,naredba-za-edinnite-darzhavni-iziskvaniya-za-pridobivane-na-visshe-obrazovanie-p-7,2022,39,173585,Министерски съвет,"Постановление № 92 от 20 май 2022 г. за изменение на Наредбата за единните държавни изисквания за придобиване на висше образование по специалността „Право“ и професионална квалификация „юрист“, приета с Постановление № 75 на Министерския съвет от 1996 г.",amending,1.000,,2022-07-15,before_promulgation
title,naredba-za-iziskvaniyata-kam-barzo-zamrazenite-hrani,2006,20,1514,Министерски съвет,"Постановление № 39 от 27 февруари 2006 г. за изменение на Наредбата за изискванията към бързо замразените храни, приета с Постановление № 273 на Министерския съвет от 2002 г.",amending,1.000,,2021-03-30,before_promulgation
title,naredba-za-iziskvaniyata-kam-barzo-zamrazenite-hrani,2007,39,3647,Министерски съвет,"Постановление № 102 от 4 май 2007 г. за изменение и допълнение на Наредбата за изискванията към бързо замразените храни, приета с Постановление № 273 на Министерския съвет от 2002 г.",amending,1.000,,2021-03-30,before_promulgation
title,naredba-za-iziskvaniyata-kam-ekstraktite-ot-kafe-i-tsikoriya,2003,102,123254,Министерски съвет,Постановление № 265 от 12 ноември 2003 г. за приемане на Наредба за изискванията към екстрактите от кафе и цикория,adopting,1.000,,2021-09-21,before_promulgation
title,naredba-za-iziskvaniyata-kam-nyakoi-chastichno-ili-napalno-dehidratirani-mleka-p,2004,8,22210,Министерски съвет,"Постановление № 10 от 19 януари 2004 г. за приемане на Наредба за изискванията към някои частично или напълно дехидратирани млека, предназначени за консумация от човека",adopting,1.000,,2021-04-27,before_promulgation
title,naredba-za-iziskvaniyata-kam-nyakoi-chastichno-ili-napalno-dehidratirani-mleka-p,2007,89,4380,Министерски съвет,"Постановление № 262 от 29 октомври 2007 г. за изменение и допълнение на Наредбата за изискванията към някои частично или напълно дехидратирани млека, предназначени за консумация от човека, приета с Постановление № 10 на Министерския съвет от 2004 г.",amending,1.000,,2021-04-27,before_promulgation
title,naredba-za-iziskvaniyata-kam-nyakoi-chastichno-ili-napalno-dehidratirani-mleka-p,2008,54,5333,Министерски съвет,"Постановление № 126 от 3 юни 2008 г. за изменение и допълнение на Наредбата за изискванията към някои частично или напълно дехидратирани млека, предназначени за консумация от човека, приета с Постановление № 10 на Министерския съвет от 2004 г.",amending,1.000,,2021-04-27,before_promulgation
title,naredba-za-iziskvaniyata-kam-pchelniya-med-prednaznachen-za-konsumatsiya-ot-chov,2015,39,94733,Министерски съвет,"Постановление № 127 от 21 май 2015 г. за изменение и допълнение на Наредбата за изискванията към пчелния мед, предназначен за консумация от човека, приета с Постановление № 196 на Министерския съвет от 2002 г.",amending,1.000,,2023-01-13,before_promulgation
title,naredba-za-iziskvaniyata-kam-plodovite-konfityuri-zheleta-marmaladi-zhele-marmal,2003,19,101669,Министерски съвет,"Постановление № 45 от 21 февруари 2003 г. за приемане на Наредба за изискванията към плодовите конфитюри, желета, мармалади, желе-мармалади и подсладено пюре от кестени",adopting,1.000,,2025-04-25,before_promulgation
title,naredba-za-iziskvaniyata-kam-sokovete-ot-plodove-i-nyakoi-shodni-produkti-predna,2014,102,90456,Министерски съвет,"Постановление № 384 от 4 декември 2014 г. за допълнение на Наредбата за изискванията към соковете от плодове и някои сходни продукти, предназначени за консумация от човека, приета с Постановление № 219 на Министерския съвет от 2002 г.",amending,1.000,,2022-08-05,before_promulgation
title,naredba-za-iziskvaniyata-za-tretirane-na-izlezli-ot-upotreba-gumi,2010,69,36324,Министерски съвет,Постановление № 183 от 20 август 2010 г. за приемане на Наредба за изискванията за третиране на излезли от употреба гуми,adopting,1.000,,2012-09-25,before_promulgation
title,naredba-za-izlyazloto-ot-upotreba-elektrichesko-i-elektronno-oborudvane,2013,2,71720,Министерски съвет,Постановление № 355 от 28 декември 2012 г. за приемане на Наредба за излязлото от употреба електрическо и електронно оборудване,adopting,1.000,,2013-11-19,before_promulgation
title,naredba-za-izlyazloto-ot-upotreba-elektrichesko-i-elektronno-oborudvane,2013,5,72078,Министерски съвет,"Поправка в Наредбата за излязлото от употреба електрическо и електронно оборудване, приета с Постановление № 355 от 2012 г. (ДВ, бр. 2 от 2013 г.)",corrigendum,1.000,,2013-11-19,before_promulgation
title,naredba-za-kriteriite-i-reda-za-izbor-na-lechebni-zavedeniya-za-bolnichna-pomosh,2016,19,101771,Министерски съвет,"Постановление № 45 от 9 март 2016 г. за приемане на Наредба за критериите и реда за избор на лечебни заведения за болнична помощ, с които На­цио­налната здравноосигурителна каса сключва договори",adopting,1.000,,2018-05-18,before_promulgation
title,naredba-za-kriteriite-i-reda-za-izbor-na-lechebni-zavedeniya-za-bolnichna-pomosh,2016,31,102828,Министерски съвет,"Постановление № 84 от 14 април 2016 г. за изменение на Наредбата за критериите и реда за избор на лечебни заведения за болнична помощ, с които Националната здравноосигурителна каса сключва договори, приета с Постановление № 45 на Министерския съвет от 2016 г.",amending,1.000,,2018-05-18,before_promulgation
title,naredba-za-meditsinskata-ekspertiza,2010,36,32777,Министерски съвет,Постановление № 87 от 5 май 2010 г. за приемане на Наредба за медицинската експертиза,adopting,1.000,,2017-06-27,before_promulgation
title,naredba-za-metodikite-za-opredelyaneto-na-natsionalnata-tsel-za-energiyna-efekti,2016,75,107649,Министерски съвет,"Постановление № 240 от 15 септември 2016 г. за приемане на Наредба за методиките за определянето на националната цел за енергийна ефективност и за определянето на общата кумулативна цел, въвеждането на схема за задължения за енергийни спестявания и разпределянето на индивидуалните цели за енергийни спестявания между задължените лица",adopting,1.000,,2022-04-26,before_promulgation
title,naredba-za-oformyane-podavane-i-ekspertiza-na-zayavki-za-registratsiya-na-marki-,2006,14,1404,Министерски съвет,"Постановление № 17 от 2 февруари 2006 г. за изменение и допълнение на Наредбата за оформяне, подаване и експертиза на заявки за регистрация на марки и географски означения, приета с Постановление № 267 на Министерския съвет от 1999 г.",amending,1.000,,2021-04-06,before_promulgation
title,naredba-za-oformyane-podavane-i-ekspertiza-na-zayavki-za-registratsiya-na-marki-,2007,73,4118,Министерски съвет,"Постановление № 200 от 30 август 2007 г. за изменение и допълнение на Наредбата за оформяне, подаване и експертиза на заявки за регистрация на марки и географски означения, приета с Постановление № 267 на Министерския съвет от 1999 г.",amending,1.000,,2021-04-06,before_promulgation
title,naredba-za-oformyane-podavane-i-ekspertiza-na-zayavki-za-registratsiya-na-marki-,2011,70,56516,Министерски съвет,"Постановление № 249 от 30 август 2011 г. за изменение и допълнение на Наредбата за оформяне, подаване и експертиза на заявки за регистрация на марки и географски означения, приета с Постановление № 267 на Министерския съвет от 1999 г.",amending,1.000,,2021-04-06,before_promulgation
title,naredba-za-opakovkite-i-otpadatsite-ot-opakovki,2004,19,21471,Министерски съвет,Постановление № 41 от 26 февруари 2004 г. за приемане на Наредба за опаковките и отпадъците от опаковки,adopting,1.000,,2012-11-06,before_promulgation
title,naredba-za-opakovkite-i-otpadatsite-ot-opakovki,2004,56,68670,Министерски съвет,"Поправка в Наредбата за опаковките и отпадъците от опаковки, приета с Постановления № 41 на Министерския съвет от 2004 г. (ДВ, бр. 19 от 2004 г.)",corrigendum,1.000,,2012-11-06,before_promulgation
title,naredba-za-organizatsiyata-na-deynostta-po-izpolzvane-na-sluzhiteli-pod-prikriti,2007,38,3638,Министерски съвет,Постановление № 98 от 3 май 2007 г. за приемане на Наредба за организацията на дейността по използване на служители под прикритие в Министерството на вътрешните работи,adopting,1.000,,2015-09-15,before_promulgation
title,naredba-za-organizatsiyata-za-osashtestvyavane-na-granichen-pasporten-mitnichesk,2006,5,1295,Министерски съвет,"Постановление № 2 от 6 януари 2006 г. за приемане на Наредба за организацията за осъществяване на граничен паспортен, митнически, здравен, ветеринарномедицински и фитосанитарен контрол, както и контрол на транспортните средства в пристанищата на Република България, обслужващи кораби от международно плаване",adopting,1.000,,2012-08-31,before_promulgation
title,naredba-za-osiguryavane-bezopasnostta-na-yadrenite-tsentrali,2004,66,19509,Министерски съвет,Постановление № 172 от 19 юли 2004 г. за приемане на Наредба за осигуряване безопасността на ядрените централи,adopting,1.000,,2016-09-30,before_promulgation
title,naredba-za-osiguryavane-na-fizicheskata-zashtita-na-yadrenite-saorazheniya-yadre,2004,77,19115,Министерски съвет,"Постановление № 224 от 25 август 2004 г. за приемане на Наредба за осигуряване на физическата защита на ядрените съоръжения, ядрения материал и радиоактивните вещества",adopting,1.000,,2015-10-23,before_promulgation
title,naredba-za-planirane-na-grazhdanski-resursi-za-otbrana,2010,93,40320,Министерски съвет,Постановление № 267 от 16 ноември 2010 г. за приемане на Наредба за планиране на граждански ресурси за отбрана,adopting,1.000,,2020-05-29,before_promulgation
title,naredba-za-polzvane-na-studentskite-obshtezhitiya-i-stolove,2003,100,123197,Министерски съвет,"Постановление № 255 от 7 ноември 2003 г. за изменение и допълнение на Наредбата за ползване на студентските общежития и столове, приета с Постановление № 327 на Министерския съвет от 1997 г.",amending,1.000,,2008-10-03,before_promulgation
title,naredba-za-polzvaneto-na-povarhnostnite-vodi,2011,56,54712,Министерски съвет,Постановление № 200 от 13 юли 2011 г. за приемане на Наредба за ползването на повърхностните води,adopting,1.000,,2021-03-26,before_promulgation
title,naredba-za-polzvaneto-na-povarhnostnite-vodi,2016,100,110348,Министерски съвет,Постановление № 352 от 14 декември 2016 г. за приемане на Наредба за ползването на повърхностните води,adopting,1.000,,2021-03-26,before_promulgation
title,naredba-za-predotvratyavane-na-golemi-avarii-s-opasni-veshtestva-i-ogranichavane,2006,39,1870,Министерски съвет,Постановление № 99 от 3 май 2006 г. за приемане на Наредба за предотвратяване на големи аварии с опасни вещества и за ограничаване на последствията от тях,adopting,0.985,,2016-01-19,before_promulgation
title,naredba-za-predotvratyavane-na-golemi-avarii-s-opasni-veshtestva-i-ogranichavane,2010,25,31277,Министерски съвет,"Постановление № 42 от 19 март 2010 г. за изменение и допълнение на Наредбата за предотвратяване на големи аварии с опасни вещества и за ограничаване на последствията от тях, приета с Постановление № 99 на Министерския съвет от 2006 г.",amending,0.985,,2016-01-19,before_promulgation
title,naredba-za-predotvratyavane-na-golemi-avarii-s-opasni-veshtestva-i-ogranichavane,2012,76,68902,Министерски съвет,Постановление № 238 от 28 септември 2012 г. за приемане на Наредба за предотвратяване на големи аварии с опасни вещества и за ограничаване на последствията от тях,adopting,0.985,,2016-01-19,before_promulgation
title,naredba-za-prilagane-na-chl-4-ot-zakona-za-politicheska-i-grazhdanska-reabilitat,2005,15,14836,Министерски съвет,"Постановление № 22 от 4 февруари 2005 г. за изменение на Наредбата за прилагане на чл. 4 от Закона за политическа и гражданска реабилитация на репресирани лица, приета с Постановление № 140 на Министерския съвет от 2004 г.",amending,1.000,,2006-04-28,before_promulgation
title,naredba-za-priobshtavashtoto-obrazovanie,2016,89,108940,Министерски съвет,Постановление № 286 от 4 ноември 2016 г. за приемане на Наредба за приобщаващото образование,adopting,1.000,,2017-10-27,before_promulgation
title,naredba-za-razglezhdane-na-sporove-po-zakona-za-markite-i-geografskite-oznacheni,2018,34,125581,Министерски съвет,Постановление № 56 от 16 април 2018 г. за приемане на Наредба за разглеждане на спорове по Закона за марките и географските означения,adopting,1.000,,2022-03-08,before_promulgation
title,naredba-za-reda-i-nachina-za-izchislyavane-na-razmera-na-finansovata-garantsiya-,2011,29,47857,Министерски съвет,Постановление № 76 от 31 март 2011 г. за приемане на Наредба за реда и начина за изчисляване размера на финансовата гаранция или еквивалентна застраховка и за предоставяне на годишни справки-декларации при трансграничен превоз на отпадъци,adopting,0.992,,2014-07-18,before_promulgation
title,naredba-za-reda-i-nachina-za-nanasyane-na-spetsifichnata-markirovka-za-identifik,2005,31,15170,Министерски съвет,Постановление № 55 от 29 март 2005 г. за приемане на Наредба за реда и начина за нанасяне на специфичната маркировка за идентификация на радиосъоръженията,adopting,1.000,,2007-11-27,before_promulgation
title,naredba-za-reda-i-nachina-za-opolzotvoryavane-na-utayki-ot-prechistvaneto-na-otp,2004,112,18060,Министерски съвет,Постановление № 339 от 14 декември 2004 г. за приемане на Наредба за реда и начина за оползотворяване на утайки от пречистването на отпадъчни води чрез употребата им в земеделието,adopting,1.000,,2016-08-12,before_promulgation
title,naredba-za-reda-za-izbor-na-osiguryavane-vnasyane-i-razpredelyane-na-zadalzhitel,2015,68,97126,Министерски съвет,"Постановление № 233 от 31 август 2015 г. за приемане на Наредба за реда за избор на осигуряване, внасяне и разпределяне на задължителните осигурителни вноски, вноските за Фонд „Гарантирани вземания на работниците и служителите“ и за обмен на информация",adopting,1.000,,2018-08-24,before_promulgation
title,naredba-za-reda-za-izbor-na-osiguryavane-vnasyane-i-razpredelyane-na-zadalzhitel,2016,5,100110,Министерски съвет,"Постановление № 5 от 14 януари 2016 г. за изменение и допълнение на Наредбата за реда за избор на осигуряване, внасяне и разпределяне на задължителните осигурителни вноски, вноските за Фонд „Гарантирани вземания на работниците и служителите“ и за обмен на информация, приета с Постановление № 233 на Министерския съвет от 2015 г.",amending,1.000,,2018-08-24,before_promulgation
title,naredba-za-reda-za-izbor-na-osiguryavane-vnasyane-i-razpredelyane-na-zadalzhitel,2017,28,113282,Министерски съвет,"Постановление № 59 от 30 март 2017 г. за изменение на Наредбата за реда за избор на осигуряване, внасяне и разпределяне на задължителните осигурителни вноски, вноските за Фонд „Гарантирани вземания на работниците и служителите“ и за обмен на информация, приета с Постановление № 233 на Министерския съвет от 2015 г.",amending,1.000,,2018-08-24,before_promulgation
title,naredba-za-reda-za-oformyane-podavane-i-razglezhdane-na-opozitsii-po-zakona-za-m,2011,43,51475,Министерски съвет,"Постановление № 151 от 30 май 2011 г. за приемане на Наредба за реда за оформяне, подаване и разглеждане на опозиции по Закона за марките и географските означения",adopting,1.000,,2022-04-12,before_promulgation
title,naredba-za-sashtestvenite-iziskvaniya-i-otsenyavane-na-saotvetstvieto-na-elektri,2003,74,115338,Министерски съвет,"Постановление № 180 от 11 август 2003 г. за изменение и допълнение на Наредбата за съществените изисквания и оценяване на съответствието на електрически съоръжения, предназначени за използване в определени граници на напрежението, приета с Постановление № 182 на Министерския съвет от 2001 г.",amending,1.000,,2016-03-25,before_promulgation
title,naredba-za-sashtestvenite-iziskvaniya-i-otsenyavane-na-saotvetstvieto-na-piroteh,2009,102,28075,Министерски съвет,Постановление № 315 от 18 декември 2009 г. за приемане на Наредба за съществените изисквания и оценяване съответствието на пиротехническите изделия,adopting,0.983,,2015-07-03,before_promulgation
title,naredba-za-sashtestvenite-iziskvaniya-i-otsenyavane-na-saotvetstvieto-na-piroteh,2013,75,78407,Министерски съвет,"Постановление № 178 от 20 август 2013 г. за изменение на Наредбата за съществените изисквания и оценяване съответствието на пиротехническите изделия, приета с Постановление № 315 на Министерския съвет от 2009 г.",amending,0.983,,2015-07-03,before_promulgation
title,naredba-za-sashtestvenite-iziskvaniya-i-otsenyavane-na-saotvetstvieto-na-piroteh,2015,13,92000,Министерски съвет,"Постановление № 25 от 10 февруари 2015 г. за изменение и допълнение на Наредбата за съществените изисквания и оценяване съответствието на пиротехническите изделия, приета с Постановление № 315 на Министерския съвет от 2009 г.",amending,0.983,,2015-07-03,before_promulgation
title,naredba-za-sashtestvenite-iziskvaniya-i-otsenyavane-na-saotvetstvieto-na-sredstv,2010,48,34152,Министерски съвет,"Постановление № 125 от 18 юни 2010 г. за изменение и допълнение на Наредбата за съществените изисквания и оценяване съответствието на средствата за измерване, приета с Постановление № 253 на Министерския съвет от 2006 г.",amending,0.983,,2016-03-25,before_promulgation
title,naredba-za-sashtestvenite-iziskvaniya-i-otsenyavane-na-saotvetstvieto-na-vezni-s,2003,52,106615,Министерски съвет,Постановление № 114 от 30 май 2003 г. за приемане на Наредба за съществените изисквания и оценяване съответствието на везни с неавтоматично действие,adopting,0.984,,2016-03-25,before_promulgation
title,naredba-za-sashtestvenite-iziskvaniya-i-otsenyavane-na-saotvetstvieto-na-vezni-s,2005,1,14600,Министерски съвет,"Постановление № 354 от 23 декември 2004 г. за изменение и допълнение на Наредбата за съществените изисквания и оценяване съответствието на везни с неавтоматично действие, приета с Постановление № 114 на Министерския съвет от 2003 г.",amending,0.984,,2016-03-25,before_promulgation
title,naredba-za-sashtestvenite-iziskvaniya-i-otsenyavane-na-saotvetstvieto-na-vzrivni,2006,11,1372,Министерски съвет,"Постановление № 11 от 25 януари 2006 г. за изменение и допълнение на Наредбата за съществените изисквания и оценяване съответствието на взривните вещества за граждански цели, приета с Постановление № 52 на Министерския съвет от 2002 г.",amending,0.986,,2016-03-25,before_promulgation
title,naredba-za-sashtestvenite-iziskvaniya-i-otsenyavane-na-saotvetstvieto-za-elektro,2004,65,19534,Министерски съвет,"Постановление № 170 от 16 юли 2004 г. за изменение и допълнение на Наредбата за съществените изисквания и оценяване на съответствието за електромагнитна съвместимост, приета с Постановление № 203 на Министерския съвет от 2001 г.",amending,1.000,,2016-03-25,before_promulgation
title,naredba-za-sashtestvenite-iziskvaniya-i-otsenyavane-na-saotvetstvieto-za-elektro,2007,32,3531,Министерски съвет,Постановление № 76 от 6 април 2007 г. за приемане на Наредба за съществените изисквания и оценяване на съответствието за електромагнитна съвместимост,adopting,1.000,,2016-03-25,before_promulgation
title,naredba-za-sashtestvenite-iziskvaniya-i-otsenyavane-saotvetstvieto-na-mashinite,2004,52,20064,Министерски съвет,"Постановление № 121 от 8 юни 2004 г. за изменение и допълнение на Наредбата за съществените изисквания и оценяване съответствието на машините, приета с Постановление № 232 на Министерския съвет от 2001 г.",amending,1.000,,2008-07-08,before_promulgation
title,naredba-za-spetsifichnite-iziskvaniya-kam-kazeinite-i-kazeinatite-prednaznacheni,2017,4,110952,Министерски съвет,"Постановление № 2 от 6 януари 2017 г. за приемане на Наредба за специфичните изисквания към казеините и казеинатите, предназначени за консумация от човека",adopting,1.000,,2021-07-30,before_promulgation
title,naredba-za-spetsifichnite-iziskvaniya-kam-mlechnite-produkti,2012,48,65714,Министерски съвет,Постановление № 119 от 19 юни 2012 г. за приемане на Наредба за специфичните изисквания към млечните продукти,adopting,1.000,,2021-08-03,before_promulgation
title,naredba-za-spetsifichnite-iziskvaniya-kam-mlechnite-produkti,2013,1,71626,Министерски съвет,"Постановление № 349 от 21 декември 2012 г. за изменение и допълнение на Наредбата за специфичните изиск­вания към млечните продукти, приета с Постановление № 119 на Министерския съвет от 2012 г.",amending,1.000,,2021-08-03,before_promulgation
title,naredba-za-spetsifichnite-iziskvaniya-kam-mlechnite-produkti,2018,58,128477,Министерски съвет,"Постановление № 135 от 9 юли 2018 г. за изменение и допълнение на Наредбата за специфичните изисквания към млечните продукти, приета с Постановление № 119 на Министерския съвет от 2012 г.",amending,1.000,,2021-08-03,before_promulgation
title,naredba-za-sredstvata-za-izmervane-koito-podlezhat-na-metrologichen-kontrol,2003,98,123174,Министерски съвет,"Постановление № 239 от 24 октомври 2003 г. за приемане на Наредба за средствата за измерване, които подлежат на метрологичен контрол",adopting,1.000,,2024-12-06,before_promulgation
title,naredba-za-sredstvata-za-izmervane-koito-podlezhat-na-metrologichen-kontrol,2007,46,3798,Министерски съвет,"Постановление № 126 от 2 юни 2007 г. за изменение и допълнение на Наредбата за средствата за измерване, които подлежат на метрологичен контрол, приета с Постановление № 239 на Министерския съвет от 2003 г.",amending,1.000,,2024-12-06,before_promulgation
title,naredba-za-sredstvata-za-izmervane-koito-podlezhat-na-metrologichen-kontrol,2011,56,54886,Министерски съвет,"Постановление № 202 от 15 юли 2011 г. за изменение и допълнение на Наредбата за средствата за измерване, които подлежат на метрологичен контрол, приета с Постановление № 239 на Министерския съвет от 2003 г.",amending,1.000,,2024-12-06,before_promulgation
title,naredba-za-sredstvata-za-izmervane-koito-podlezhat-na-metrologichen-kontrol,2015,22,93161,Министерски съвет,"Постановление № 61 от 19 март 2015 г. за изменение и допълнение на На­редбата за средствата за измерване, които подлежат на метрологичен контрол, приета с Постановление № 239 на Министерския съвет от 2003 г.",amending,1.000,,2024-12-06,before_promulgation
title,naredba-za-sredstvata-za-izmervane-koito-podlezhat-na-metrologichen-kontrol,2017,86,119144,Министерски съвет,"Постановление № 234 от 20 октомври 2017 г. за изменение на Наредбата за средствата за измерване, които подлежат на метрологичен контрол, приета с Постановление № 239 на Министерския съвет от 2003 г.",amending,1.000,,2024-12-06,before_promulgation
